Date,New Vaccinations,Total Vaccinations
12/11/20,0,0
12/12/20,0,0
12/13/20,0,0
12/14/20,33300,33000
12/15/20,66700,100000
12/16/20,100000,200000
12/17/20,116700,317000
12/18/20,125000,442000
12/19/20,133300,575000
12/20/20,133300,708000
12/21/20,166700,875000
12/22/20,200000,1075000
12/23/20,216700,1292000
12/24/20,233300,1525000
12/25/20,241700,1767000
12/26/20,250000,2017000
12/27/20,258300,2275000
12/28/20,275000,2550000
12/29/20,291700,2842000
12/30/20,308300,3150000
12/31/20,325000,3475000
1/1/21,346700,3822000
1/2/21,368300,4190000
1/3/21,390000,4580000
1/4/21,420000,5000000
1/5/21,450000,5450000
1/6/21,480000,5930000
1/7/21,510000,6440000
1/8/21,540000,6980000
1/9/21,565000,7545000
1/10/21,590000,8135000
1/11/21,615000,8750000
1/12/21,640000,9390000
1/13/21,665000,10055000
1/14/21,696700,10752000
1/15/21,730000,11482000
1/16/21,763300,12245000
1/17/21,796700,13042000
1/18/21,830000,13872000
1/19/21,860000,14732000
1/20/21,886700,15618000
1/21/21,910000,16528000
1/22/21,930000,17458000
1/23/21,948300,18407000
1/24/21,963300,19370000
1/25/21,975000,20345000
1/26/21,983300,21328000
1/27/21,990000,22318000
1/28/21,996700,23315000
1/29/21,993300,24308000
1/30/21,973300,25282000
1/31/21,946700,26228000
2/1/21,926700,27155000
2/2/21,916700,28072000
2/3/21,923300,28995000
2/4/21,940000,29935000
2/5/21,953300,30888000
2/6/21,966700,31855000
2/7/21,980000,32835000
2/8/21,993300,33828000
2/9/21,991700,34820000
2/10/21,975000,35795000
2/11/21,958300,36753000
2/12/21,941700,37695000
2/13/21,916700,38612000
2/14/21,883300,39495000
2/15/21,833300,40328000
2/16/21,783300,41112000
2/17/21,750000,41862000
2/18/21,716700,42578000
2/19/21,683300,43262000
2/20/21,683300,43945000
2/21/21,716700,44662000
2/22/21,766700,45428000
2/23/21,833300,46262000
2/24/21,900000,47162000
2/25/21,950000,48112000
2/26/21,983300,49095000
2/27/21,1016700,50112000
2/28/21,1050000,51162000
3/1/21,1083300,52245000
3/2/21,1125000,53370000
3/3/21,1166600,54537000
3/4/21,1216400,55753000
3/5/21,1258000,57011000
3/6/21,1291200,58302000
3/7/21,1321000,59623000
3/8/21,1350900,60974000
3/9/21,1380700,62355000
3/10/21,1410500,63765000
3/11/21,1440400,65206000
3/12/21,1470200,66676000
3/13/21,1498200,68174000
3/14/21,1524500,69698000
3/15/21,1550800,71249000
3/16/21,1577200,72826000
3/17/21,1603500,74430000
3/18/21,1628100,76058000
3/19/21,1651000,77709000
3/20/21,1674000,79383000
3/21/21,1696600,81080000
3/22/21,1715600,82795000
3/23/21,1734700,84530000
3/24/21,1752900,86283000
3/25/21,1771000,88054000
3/26/21,1789100,89843000
3/27/21,1807100,91650000
3/28/21,1825100,93475000
3/29/21,1843100,95318000
3/30/21,1860000,97178000
3/31/21,1878800,99057000
4/1/21,1891800,100949000
4/2/21,1903000,102852000
4/3/21,1912200,104764000
4/4/21,1919800,106684000
4/5/21,1925700,108609000
4/6/21,1931600,110541000
4/7/21,1937400,112478000
4/8/21,1943100,114421000
4/9/21,1945600,116367000
4/10/21,1943200,118310000
4/11/21,1939200,120250000
4/12/21,1931600,122181000
4/13/21,1919800,124101000
4/14/21,1903800,126005000
4/15/21,1888000,127893000
4/16/21,1870600,129763000
4/17/21,1844000,131607000
4/18/21,1811400,133419000
4/19/21,1777500,135196000
4/20/21,1740700,136937000
4/21/21,1701300,138638000
4/22/21,1659100,140297000
4/23/21,1617300,141915000
4/24/21,1575900,143490000
4/25/21,1527300,145018000
4/26/21,1471600,146489000
4/27/21,1416500,147906000
4/28/21,1361900,149268000
4/29/21,1307800,150576000
4/30/21,1254200,151830000
5/1/21,1201400,153031000
5/2/21,1148400,154180000
5/3/21,1093500,155273000
5/4/21,1039400,156312000
5/5/21,993200,157306000
5/6/21,954700,158260000
5/7/21,916700,159177000
5/8/21,879200,160056000
5/9/21,842300,160899000
5/10/21,805800,161704000
5/11/21,769800,162474000
5/12/21,734300,163209000
5/13/21,699400,163908000
5/14/21,664900,164573000
5/15/21,630800,165204000
5/16/21,602400,165806000
5/17/21,578200,166384000
5/18/21,559600,166944000
5/19/21,542500,167486000
5/20/21,524500,168011000
5/21/21,505600,168516000
5/22/21,487000,169003000
5/23/21,469900,169473000
5/24/21,450700,169924000
5/25/21,431800,170356000
5/26/21,414500,170770000
5/27/21,398600,171169000
5/28/21,383000,171552000
5/29/21,367700,171920000
5/30/21,352700,172272000
5/31/21,337900,172610000
6/1/21,326900,172937000
6/2/21,316600,173254000
6/3/21,306400,173560000
6/4/21,296500,173857000
6/5/21,287900,174145000
6/6/21,279500,174424000
6/7/21,271300,174695000
6/8/21,265200,174960000
6/9/21,259300,175220000
6/10/21,253400,175473000
6/11/21,247700,175721000
6/12/21,244000,175965000
6/13/21,240300,176205000
6/14/21,236700,176442000
6/15/21,233200,176675000
6/16/21,227000,176902000
6/17/21,222500,177125000
6/18/21,218000,177343000
6/19/21,213700,177556000
6/20/21,209400,177766000
6/21/21,205200,177971000
6/22/21,201100,178172000
6/23/21,197100,178369000
6/24/21,193100,178562000
6/25/21,189300,178752000
6/26/21,185500,178937000
6/27/21,181800,179119000
6/28/21,178100,179297000
6/29/21,174600,179471000
6/30/21,172300,179644000
7/1/21,169800,179814000
7/2/21,165600,179979000
7/3/21,161400,180141000
7/4/21,157400,180298000
7/5/21,153500,180451000
7/6/21,149600,180601000
7/7/21,145900,180747000
7/8/21,142200,180889000
7/9/21,138700,181028000
7/10/21,135200,181163000
7/11/21,131800,181295000
7/12/21,128500,181423000
7/13/21,126300,181550000
7/14/21,125000,181675000
7/15/21,124000,181799000
7/16/21,122900,181922000
7/17/21,122100,182044000
7/18/21,121800,182166000
7/19/21,121400,182287000
7/20/21,121100,182408000
7/21/21,121200,182529000
7/22/21,121400,182651000
7/23/21,121500,182772000
7/24/21,121600,182894000
7/25/21,122800,183017000
7/26/21,123900,183141000
7/27/21,125000,183266000
7/28/21,126200,183392000
7/29/21,127300,183519000
7/30/21,128400,183647000
7/31/21,129600,183777000
8/1/21,130700,183908000
8/2/21,134400,184042000
8/3/21,138000,184180000
8/4/21,141700,184322000
8/5/21,145300,184467000
8/6/21,149000,184616000
8/7/21,152700,184769000
8/8/21,156300,184925000
8/9/21,160000,185085000
8/10/21,163700,185249000
8/11/21,167400,185416000
8/12/21,171200,185587000
8/13/21,174900,185762000
8/14/21,178600,185941000
8/15/21,182400,186123000
8/16/21,186100,186309000
8/17/21,186800,186496000
8/18/21,187600,186684000
8/19/21,188400,186872000
8/20/21,189200,187061000
8/21/21,190000,187251000
8/22/21,190800,187442000
8/23/21,191700,187634000
8/24/21,192600,187826000
8/25/21,193400,188020000
8/26/21,194300,188214000
8/27/21,195200,188409000
8/28/21,196100,188606000
8/29/21,197000,188803000
8/30/21,198000,189001000
8/31/21,198900,189199000
9/1/21,201200,189401000
9/2/21,202400,189603000
9/3/21,203600,189807000
9/4/21,204900,190012000
9/5/21,206100,190218000
9/6/21,207300,190425000
9/7/21,208500,190633000
9/8/21,209600,190843000
9/9/21,210800,191054000
9/10/21,212000,191266000
9/11/21,213100,191479000
9/12/21,214200,191693000
9/13/21,215300,191908000
9/14/21,216400,192125000
9/15/21,217400,192342000
9/16/21,218500,192561000
9/17/21,219500,192780000
9/18/21,220500,193001000
9/19/21,221400,193222000
9/20/21,222400,193444000
9/21/21,223300,193668000
9/22/21,224200,193892000
9/23/21,225000,194117000
9/24/21,225800,194343000
9/25/21,226600,194569000
9/26/21,227400,194797000
9/27/21,228100,195025000
9/28/21,228800,195254000
9/29/21,229400,195483000
9/30/21,230000,195713000
10/1/21,230600,195944000
10/2/21,231100,196175000
10/3/21,231600,196406000
10/4/21,232100,196638000
10/5/21,232500,196871000
10/6/21,232800,197104000
10/7/21,233200,197337000
10/8/21,233500,197570000
10/9/21,233700,197804000
10/10/21,233900,198038000
10/11/21,234000,198272000
10/12/21,234100,198506000
10/13/21,234200,198740000
10/14/21,234200,198974000
10/15/21,234100,199209000
10/16/21,234000,199443000
10/17/21,233900,199677000
10/18/21,233700,199910000
10/19/21,233500,200144000
10/20/21,233200,200377000
10/21/21,232800,200610000
10/22/21,232500,200842000
10/23/21,232000,201074000
10/24/21,231500,201306000
10/25/21,231000,201537000
10/26/21,230400,201767000
10/27/21,229800,201997000
10/28/21,229100,202226000
10/29/21,228300,202454000
10/30/21,227600,202682000
10/31/21,226700,202909000
11/1/21,225500,203134000
11/2/21,224900,203359000
11/3/21,224200,203583000
11/4/21,223400,203807000
11/5/21,222600,204029000
11/6/21,221800,204251000
11/7/21,220900,204472000
11/8/21,219900,204692000
11/9/21,218900,204911000
11/10/21,217800,205128000
11/11/21,216700,205345000
11/12/21,215600,205561000
11/13/21,214400,205775000
11/14/21,213100,205988000
11/15/21,211800,206200000
11/16/21,210500,206411000
11/17/21,209100,206620000
11/18/21,207700,206827000
11/19/21,206300,207034000
11/20/21,204800,207238000
11/21/21,203200,207442000
11/22/21,201600,207643000
11/23/21,200000,207843000
11/24/21,198400,208042000
11/25/21,196700,208238000
11/26/21,195000,208433000
11/27/21,193200,208627000
11/28/21,191500,208818000
11/29/21,189700,209008000
11/30/21,187800,209196000
12/1/21,186000,209382000
12/2/21,184100,209566000
12/3/21,182100,209748000
12/4/21,180200,209928000
12/5/21,178300,210106000
12/6/21,176300,210282000
12/7/21,174300,210457000
12/8/21,172300,210629000
12/9/21,170200,210799000
12/10/21,168200,210967000
12/11/21,166100,211133000
12/12/21,164000,211298000
12/13/21,161900,211459000
12/14/21,159800,211619000
12/15/21,157700,211777000
12/16/21,155600,211933000
12/17/21,153500,212086000
12/18/21,151400,212237000
12/19/21,149200,212387000
12/20/21,147100,212534000
12/21/21,145000,212679000
12/22/21,142800,212822000
12/23/21,140700,212962000
12/24/21,138500,213101000
12/25/21,136400,213237000
12/26/21,134300,213371000
12/27/21,132100,213504000
12/28/21,130000,213634000
12/29/21,127900,213761000
12/30/21,125800,213887000
12/31/21,123700,214011000
1/1/22,121600,214133000